,CHO,TG,HDL,LDL,APOB
stage_0,0.500822032,-0.287067407,-0.214820065,0.532389316,-0.009775914
stage_1,0.521575582,-0.294458538,-0.238957551,0.541316364,0.004883965
stage_2,0.526156677,-0.283983003,-0.197932309,0.529452344,-0.00824876
stage_3,0.539590954,-0.284709849,-0.189734457,0.530562595,-0.006091855
stage_4,0.533167579,-0.2796917,-0.21507848,0.525013419,0.004377254
stage_5,0.52446793,-0.292394676,-0.189982774,0.532296106,0.001662354
stage_6,0.491718139,-0.205061417,0.211475768,0.30191296,0.020269048
stage_7,0.396992272,-0.163012496,0.153902634,0.369489512,0.026543256
stage_8,0.550021159,-0.274326987,-0.299292703,0.310746417,0.042299875
stage_9,0.557586212,-0.270090283,-0.313177332,0.30179846,0.038010941
stage_10,0.549310082,-0.275777114,-0.304050478,0.305832383,0.041528256
stage_11,0.554887178,-0.269591536,-0.291740559,0.309136141,0.030475284
stage_12,0.556291661,-0.270325102,-0.307591339,0.304030409,0.036776786
stage_13,0.553555057,-0.272296411,-0.297089412,0.297990971,0.045744279
stage_14,0.555231737,-0.274097196,-0.288078873,0.302681292,0.038517117
stage_15,0.559820257,-0.273511568,-0.313305961,0.309453013,0.044436519
stage_16,0.553666383,-0.270771294,-0.303086238,0.30407351,0.045760194
stage_17,0.555353084,-0.280131174,-0.288674914,0.309632459,0.040189746
stage_18,0.558096591,-0.273765698,-0.286347567,0.308978434,0.043795831
stage_19,0.552747106,-0.276145734,-0.291987848,0.301888721,0.042634376
max_stage,15,7,6,1,16
