OTUs,chao1,goods_coverage,observed_species,PD_whole_tree,shannon,simpson
559,969.32,0.99,559,51.98,5.88,0.95
441,622.25,0.99,441,44.16,4.49,0.87
543,820.15,0.99,542.9,52.43,5.53,0.93
500,668.26,0.99,500,50.58,5.88,0.94
512,637.44,0.99,512,55.69,6.06,0.96
607,896.72,0.99,607,58.03,6.46,0.97
595,905.08,0.99,595,58.16,5.64,0.91
520,657.36,1,519.9,53.95,6.61,0.98
629,898.82,0.99,629,61.51,5.36,0.92
682,978.19,0.99,682,60.15,6.7,0.98
572,827.82,0.99,571.9,53.91,6.2,0.97
607,881.69,0.99,606.9,57.79,6.15,0.97
316,394.78,1,315.9,36.6,3.9,0.8
593,905.3,0.99,592.9,55.3,6.36,0.97
531,697.96,0.99,531,54.65,5.93,0.96
671,1142.11,0.99,670.9,61.09,6.81,0.98
604,871.76,0.99,603.9,56.08,6.41,0.97
650,924.38,0.99,650,59.79,6.29,0.97
553,754.25,0.99,552.9,54.62,6.38,0.97
622,945.57,0.99,622,61.1,6.35,0.97
868,1392.08,0.99,867.9,71.96,6.84,0.97
707,1084,0.99,706.9,59.41,5.88,0.96
837,1315.43,0.99,836.8,70.89,7.37,0.99
845,1232.77,0.99,845,70.52,6.85,0.98
744,1101.03,0.99,743.9,65.08,7.11,0.98
649,977.64,0.99,649,58.65,5.69,0.95
625,927.24,0.99,625,60.3,6.33,0.97
755,1071.9,0.99,755,69.29,6.14,0.96
668,925.14,0.99,668,62.01,6.42,0.97
763,1153.18,0.99,762.8,67.81,6.28,0.97
633,959.53,0.99,632.9,58.54,6.13,0.96
813,1239.26,0.99,813,68.08,6.22,0.96
546,799.88,0.99,546,56.53,5.59,0.94
806,1185.1,0.99,805.9,66.83,6.59,0.98
701,1100.63,0.99,701,63.68,6.21,0.96
713,1107.14,0.99,712.9,61.05,6.88,0.98
804,1183,0.99,804,70.02,6.32,0.96
893,1469.99,0.99,893,72.93,6.81,0.97
696,1125.34,0.99,695.9,63.79,6.03,0.95
815,1203.01,0.99,815,69.72,6.68,0.97
923,1448.23,0.99,922.9,77.87,6.97,0.98
556,900.64,0.99,555.9,57.64,5.36,0.92
756,1214.81,0.99,755.9,66.89,6.38,0.96
827,1155.62,0.99,827,69.4,6.57,0.97
737,1184.37,0.99,737,65.97,6.39,0.97
655,1059.31,0.99,655,62.68,5.89,0.96
804,1291.27,0.99,804,70.4,7.16,0.98
432,672.79,0.99,432,47.14,5.25,0.92
510,742.22,0.99,509.9,48.75,5.85,0.96
758,1089.64,0.99,757.9,64.87,6.17,0.96
840,1305.56,0.99,839.8,69.22,6.41,0.97
493,718.74,0.99,493,49.23,5.26,0.93
375,488.96,1,375,43.08,5.04,0.92
530,746.42,0.99,530,50.79,5.92,0.96
607,920.55,0.99,606.9,54.27,6.31,0.97
523,774.58,0.99,523,51.02,6.08,0.96
523,856.97,0.99,523,48.19,6.27,0.97
627,1071.35,0.99,626.8,55.79,4.96,0.9
436,678.42,0.99,436,45.22,5.29,0.94
601,882.22,0.99,600.9,56.56,6.2,0.97
521,726.62,0.99,520.9,50.19,6.19,0.97
437,670.61,0.99,437,43.43,5.26,0.93
430,676,0.99,430,45.41,4.97,0.93
357,530.96,0.99,356.9,35.79,5.41,0.95
500,762.82,0.99,499.8,51.11,5.3,0.94
623,1019.16,0.99,623,55.37,6.26,0.97
410,586.9,0.99,409.8,42.8,4.77,0.9
565,812.63,0.99,565,52.16,5.73,0.95
546,882.73,0.99,546,50.42,5.8,0.95
640,991.32,0.99,639.9,56.85,6.37,0.97
664,1022.79,0.99,663.8,58.97,6.15,0.96
518,767.51,0.99,518,50.19,5.56,0.95
127,201.93,1,127,20.31,3.2,0.83
363,532.5,1,363,37.87,5.52,0.96
606,864.62,0.99,606,56.61,6.12,0.97
556,862.77,0.99,556,47.69,5.53,0.93
560,955.47,0.99,559.9,52.34,6.09,0.96
395,567.33,0.99,394.7,39.77,4.85,0.9
564,970.38,0.99,564,52.37,5.97,0.97
399,516.96,1,399,40.58,5.21,0.94
531,835.73,0.99,531,49.49,5.71,0.95
326,458.33,1,325.9,36.39,4.71,0.9
548,745.78,0.99,548,52,6.24,0.97
563,844.26,0.99,562.9,53.38,5.73,0.95
509,791.64,0.99,509,50.32,5.89,0.96
409,626.56,0.99,409,40.8,5.21,0.92
605,1033.12,0.99,605,54,5.96,0.96
616,883.63,0.99,615.9,56.76,6.27,0.97
597,1027.26,0.99,597,52.93,5.82,0.95
398,542.38,1,398,42.37,5.16,0.93
552,835.03,0.99,551.8,51.05,6.36,0.98
435,672.06,0.99,435,43.01,5.15,0.89
578,921.12,0.99,577.9,53.48,6.19,0.97
638,1023.06,0.99,638,58.09,6.28,0.97
611,949.93,0.99,611,57.59,6.16,0.97
525,862.91,0.99,525,52.14,6.13,0.97
520,850.69,0.99,520,52.4,5.35,0.93
455,818.7,0.99,454.9,45.74,5.94,0.96
541,778.52,0.99,540.9,53.51,6.34,0.97
555,861.64,0.99,555,52.08,6.11,0.97
578,826.83,0.99,577.9,48.54,5.64,0.93
554,809.2,0.99,553.9,49.98,5.97,0.96
567,884.6,0.99,566.9,51.49,6.24,0.97
658,1058.83,0.99,658,59.71,6.28,0.97
607,957.7,0.99,607,54.74,6.38,0.97
562,873.53,0.99,562,52.04,5.82,0.96
576,875.75,0.99,575.9,52.95,6.13,0.97
574,914.56,0.99,573.9,55.25,6.36,0.97
555,993.29,0.99,555,55.21,5.84,0.94
434,598.02,1,434,47.36,5.99,0.96
509,772.78,0.99,509,50.79,5.97,0.96
612,923.58,0.99,612,59.44,6.04,0.96
514,950.31,0.99,513.9,50.65,6.16,0.97
