,OTUs,chao1,goods_coverage,observed_species,PD_whole_tree,shannon,simpson,CHO,TG,HDL,LDL,APOB
OTUs,1,0.957065229,-0.450183344,0.999999869,0.968743316,0.747173598,0.535428974,-0.335022559,-0.151586254,-0.227690808,-0.271015451,-0.089333977
chao1,0.957065229,1,-0.499323813,0.95705125,0.91195824,0.705164759,0.508261978,-0.290116594,-0.143948046,-0.215574511,-0.226747053,-0.09670687
goods_coverage,-0.450183344,-0.499323813,1,-0.450196676,-0.429060689,-0.343624158,-0.304986177,0.123883111,0.087379782,0.098306446,0.169417008,-0.02816558
observed_species,0.999999869,0.95705125,-0.450196676,1,0.968770518,0.747180363,0.535471542,-0.335106924,-0.151720649,-0.227771923,-0.271128496,-0.089416968
PD_whole_tree,0.968743316,0.91195824,-0.429060689,0.968770518,1,0.7367713,0.525085296,-0.407941812,-0.165340741,-0.287098947,-0.356131708,-0.149207693
shannon,0.747173598,0.705164759,-0.343624158,0.747180363,0.7367713,1,0.887961795,-0.250856508,-0.139309774,-0.176798008,-0.222091783,-0.085557723
simpson,0.535428974,0.508261978,-0.304986177,0.535471542,0.525085296,0.887961795,1,-0.073129806,-0.089640951,-0.019147274,-0.092035005,-0.043193784
CHO,-0.335022559,-0.290116594,0.123883111,-0.335106924,-0.407941812,-0.250856508,-0.073129806,1,0.359967715,0.899470316,0.921787321,0.415952688
TG,-0.151586254,-0.143948046,0.087379782,-0.151720649,-0.165340741,-0.139309774,-0.089640951,0.359967715,1,0.377569115,0.382360797,0.658713359
HDL,-0.227690808,-0.215574511,0.098306446,-0.227771923,-0.287098947,-0.176798008,-0.019147274,0.899470316,0.377569115,1,0.822437392,0.446116498
LDL,-0.271015451,-0.226747053,0.169417008,-0.271128496,-0.356131708,-0.222091783,-0.092035005,0.921787321,0.382360797,0.822437392,1,0.471839783
APOB,-0.089333977,-0.09670687,-0.02816558,-0.089416968,-0.149207693,-0.085557723,-0.043193784,0.415952688,0.658713359,0.446116498,0.471839783,1
